raceId,Constructor,Driver,tbl
74,7,15,70258.0
74,3,2,71282.0
74,3,17,83297.0
74,9,24,83764.0
74,7,23,95841.0
74,16,18,10400.0
74,16,11,34700.0
75,1,8,0.0
75,4,4,27652.0
75,7,15,45947.0
75,7,23,46719.0
75,4,21,57936.0
75,3,17,68542.0
76,1,8,0.0
76,3,2,13877.0
76,3,17,18484.0
76,4,4,36487.0
76,1,31,36647.0
76,7,23,37117.0
76,6,30,37223.0
76,6,22,37570.0
77,4,4,0.0
77,3,2,16567.0
77,6,22,18549.0
77,9,14,31588.0
77,6,30,50445.0
77,4,21,51932.0
77,1,31,58173.0
77,7,15,71091.0
77,9,24,71529.0
77,16,18,95786.0
78,1,8,0.0
78,6,30,1100.0
78,6,22,40400.0
78,15,13,55100.0
78,3,17,55700.0
79,6,30,0.0
79,6,22,1500.0
80,4,4,0.0
80,1,8,11800.0
80,6,30,81900.0
81,1,31,0.0
81,4,4,2700.0
81,1,8,14400.0
81,4,21,17900.0
81,16,18,40300.0
81,6,30,75300.0
81,6,22,76600.0
81,7,23,79200.0
81,7,15,80900.0
82,4,4,0.0
82,1,31,22569.0
82,16,18,24422.0
82,4,21,50587.0
82,6,30,51690.0
82,7,23,52242.0
82,9,14,52700.0
82,15,13,56570.0
82,9,32,69818.0
83,1,8,0.0
83,6,30,35581.0
83,7,23,36129.0
83,7,15,54221.0
83,16,18,58832.0
83,3,2,68375.0
84,1,8,0.0
84,4,4,18609.0
84,1,31,19635.0
84,4,21,37973.0
84,16,18,39304.0
84,7,15,55420.0
84,9,14,69292.0
84,9,32,71622.0
84,16,11,79987.0
85,1,31,0.0
85,4,4,2479.0
85,4,21,17975.0
85,1,8,22775.0
85,7,15,33786.0
85,7,23,43925.0
85,3,42,44643.0
85,16,18,63635.0
85,15,13,75413.0
85,6,30,96070.0
86,1,8,0.0
86,4,4,28300.0
86,16,18,32000.0
86,3,17,69100.0
86,6,22,78100.0
86,15,35,87400.0
86,7,23,87500.0
87,1,31,0.0
87,1,8,2527.0
87,4,4,24840.0
87,6,30,35668.0
87,4,21,40218.0
87,6,22,69173.0
88,1,8,0.0
88,4,21,1633.0
88,4,4,17456.0
88,3,17,22274.0
88,16,18,29507.0
88,9,14,31601.0
88,6,30,33879.0
88,7,23,49548.0
88,9,32,51925.0
88,15,13,57509.0
88,6,22,60633.0
88,15,35,83221.0
89,4,4,0.0
89,1,8,4000.0
89,7,23,25300.0
89,4,21,26100.0
89,9,32,31800.0
89,15,13,36400.0
89,3,17,36800.0
89,16,18,41200.0
89,9,14,44200.0
89,15,35,59900.0
89,17,33,84600.0
89,6,22,92800.0
90,6,30,0.0
90,6,22,13605.0
90,4,4,34673.0
90,3,23,60423.0
90,3,31,68536.0
90,16,18,70598.0
91,6,30,0.0
91,3,31,5022.0
91,16,18,11568.0
91,6,22,13615.0
91,4,15,37360.0
91,1,14,53098.0
91,4,4,67877.0
92,6,30,0.0
92,6,22,1367.0
92,16,18,26687.0
92,4,15,32214.0
92,16,11,52460.0
92,4,4,53156.0
92,3,23,58155.0
