#,Year,ET,MPH,Last,First,Entry,State,Engine,Make,Model,Chassis,Class,Unnamed: 13
8023,2013,5.75,175.6,Sainty,Terry,Apollo/Speed Flow,New South Wales,Sainty,,Dragster,Stan Sainty,TF,EDIT THIS!
8024,2014,5.301,247.84,Sainty,Terry,Apollo/Speed Flow,New South Wales,Sainty,,Dragster,Stan Sainty,TF,EDIT THIS!
8025,2015,5.261,224.1,Sainty,Terry,Apollo/Speed Flow,New South Wales,Sainty,,Dragster,Stan Sainty,TF,EDIT THIS!
8026,1968,7.055,225.0,Salemi,Dick,Bradlees Dept Store,New York,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8027,1969,7.445,0.0,Salemi,Dick,Bradlees Dept Store,New York,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8028,2023,0.0,0.0,Salinas,Jasmine,Scrappers Racing,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8029,2024,0.0,0.0,Salinas,Jasmine,Scrappers Racing,California,AJPE Hemi,,Dragster,MLR,Top Fuel,EDIT THIS!
8030,2011,0.0,0.0,Salinas,Mike,Mike Salinas,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8031,2012,0.0,0.0,Salinas,Mike,Mike Salinas,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8032,2014,0.0,0.0,Salinas,Mike,Mike Salinas,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8033,2017,0.0,0.0,Salinas,Mike,Mike Salinas,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8034,2018,0.0,0.0,Salinas,Mike,Scrappers Racing,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8035,2019,0.0,0.0,Salinas,Mike,Scrappers Racing,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8036,2021,0.0,0.0,Salinas,Mike,Scrappers Racing,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8037,2022,0.0,0.0,Salinas,Mike,Scrappers Racing,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8038,2023,0.0,0.0,Salinas,Mike,Scrappers Racing,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8039,2024,0.0,0.0,Salinas,Mike,Scrappers Racing,California,TFX Hemi,,Dragster,Brad Hadman,Top Fuel,EDIT THIS!
8040,1965,8.57,190.26,Salisbury,Dwight,Baby Huey / La Cienega Auto Center,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8041,1966,7.46,203.16,Salisbury,Dwight,Baby Huey,California,Chrysler Hemi,,Dragster,Rounds,AA/FD,EDIT THIS!
8042,1967,7.6,203.16,Salisbury,Dwight,Armenian,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8043,1967,0.0,0.0,Salisbury,Dwight,Baby Huey,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8044,1967,0.0,0.0,Salisbury,Dwight,Addict,California,Chrysler Hemi,,Dragster,Ron Scrima - Pat Foster - Rocky Childs,AA/FD,EDIT THIS!
8045,1968,6.993,222.0,Salisbury,Dwight,Addict,California,Chrysler Hemi,,Dragster,Don Tuttle - CCE,AA/FD,EDIT THIS!
8046,1968,0.0,0.0,Salisbury,Dwight,Guedel & Holland,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8047,1968,6.985,216.86,Salisbury,Dwight,Beach Boys,California,1957 Chrysler Hemi,,Dragster,Don Long,AA/FD,EDIT THIS!
8048,1969,6.731,227.27,Salisbury,Dwight,Smothers Bros. Beach Boys Special,California,Chrysler Hemi,,Dragster,Roy Fjastad - SPE,AA/FD,EDIT THIS!
8049,1970,6.525,0.0,Salisbury,Dwight,Korody-Colyer Corp.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8050,1970,0.0,0.0,Salisbury,Dwight,Salisbury & Weiss,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8051,1970,6.772,220.58,Salisbury,Dwight,Superior Sizzler,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8052,1970,6.52,0.0,Salisbury,Dwight,Smother's Beach Boys,California,Chrysler Hemi,,Dragster,SPE,AA/FD,EDIT THIS!
8053,1971,6.52,210.0,Salisbury,Dwight,Drespling Bros.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8054,1971,6.71,0.0,Salisbury,Dwight,Weiss & Salisbury,California,1958 Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8055,1972,6.69,199.11,Salisbury,Dwight,Drespling Bros.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8056,1972,6.31,0.0,Salisbury,Dwight,Salisbury's Stake,California,1958 Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8057,1973,6.25,227.84,Salisbury,Dwight,Salisbury's Stake,California,Chrysler Hemi,,Dragster,Dave Tuttle,AA/FD,EDIT THIS!
8058,1974,5.973,236.22,Salisbury,Dwight,Salisbury's Stake,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
8059,1975,6.188,229.0,Salisbury,Dwight,Salisbury's Stake,California,Donovan Hemi,,Dragster,Don Tuttle - CCE,AA/FD,EDIT THIS!
8060,1976,6.02,232.55,Salisbury,Dwight,Salisbury's Stake,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
8061,1977,5.89,245.0,Salisbury,Dwight,Velasco & Cohen,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
8062,1979,5.83,224.37,Salisbury,Dwight,Jet X/Frazier & Rice,California,Milodon Hemi,,Dragster,,AA/FD,EDIT THIS!
8063,1980,6.007,233.76,Salisbury,Dwight,Genuine Suspension,California,,,Dragster,,TF,EDIT THIS!
8064,1980,0.0,0.0,Salisbury,Dwight,Frazier & Rice,California,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
8065,1981,5.637,247.93,Salisbury,Dwight,Fisher's Fever,California,Keith Black Hemi,,Dragster,ACI - Dave Settles,TF,EDIT THIS!
8066,1982,5.649,249.3,Salisbury,Dwight,Whiting & Markley,California,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
8067,1983,5.668,246.57,Salisbury,Dwight,Whiting & Markley,California,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
8068,1965,8.7,184.42,Salisbury,Ron,Rumbler,Oregon,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8069,1968,0.0,0.0,Salisbury,Ron,Ron Salisbury,Washington,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8070,1969,0.0,0.0,Salisbury,Ron,Huffman Auto Grindng,Washington,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8071,1969,0.0,0.0,Salisbury,Ron,Bob Cochran Auto Sales,Washington,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8072,1972,6.78,216.34,Salisbury,Ron,Ron Salisbury,Washington,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8073,1973,0.0,0.0,Salisbury,Ron,Ron Salisbury,Washington,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8074,1965,8.41,179.64,Sanchez Jr.,Belmont,AAA Engineering,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8075,1967,7.975,201.0,Sanders,Rick,Yellow Chicken,California,Chrysler Hemi,,Dragster,Boyd & Hunnicutt,A/MFR,EDIT THIS!
8076,1965,0.0,0.0,Sanderson,Dave,Dave Sanderson,New Hampshire,Pontiac,,Dragster,Dave Sanderson,AA/FD,EDIT THIS!
8077,1961,0.0,0.0,Sandstrom,Don,Don Sandstrom,Minnesota,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8078,2017,0.0,0.0,Sanford,Ashley,Nitro Ninja/Formex,California,Keith Black Hemi,,Dragster,Aerodine,TF,EDIT THIS!
8079,2019,0.0,0.0,Sanford,Ashley,Santos Cranes,California,Keith Black Hemi,,Dragster,,TF,EDIT THIS!
8080,1995,4.826,303.13,Sarver,Bruce,CarQuest Auto Parts,California,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
8081,1995,6.355,140.77,Sarver,Bruce,Guinn & Coburn,California,Keith Black Hemi,,Dragster,Coburn,TF,EDIT THIS!
8082,1996,4.744,303.64,Sarver,Bruce,CarQuest Auto Parts,California,Keith Black Hemi,,Dragster,Al Swindahl,TF,EDIT THIS!
8083,1997,4.685,315.56,Sarver,Bruce,CarQuest Auto Parts,California,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8084,1998,4.595,317.46,Sarver,Bruce,Atsco Transmissions,California,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8085,1999,4.575,315.56,Sarver,Bruce,NAPA Auto Parts,California,Keith Black Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8086,1956,0.0,0.0,Saterlee,Amos,Duncan & Losinski,California,Chrysler Hemi,,Dragster,Ed Losinski,Top Eliminator,EDIT THIS!
8087,1963,0.0,0.0,Satterlee,Amos,Hustler,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8088,1965,7.6,197.8,Sauers,Dick,Howard Cam Unbearable,Arizona,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8089,1973,6.33,223.88,Saunders,Robert,American Express,Texas,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8090,1974,6.92,0.0,Saunders,Robert,American Express,Texas,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8091,1969,0.0,0.0,Savadin,Paul,The Trip,California,Chrysler Hemi,,Dragster,Woody Gilmore,AA/FD,EDIT THIS!
8092,1972,6.8,201.0,Savadin,Paul,The Trip,California,Chrysler Hemi,,Dragster,Dennis Watson,AA/FD,EDIT THIS!
8093,1973,0.0,0.0,Savadin,Paul,The Trip,California,Chrysler Hemi,,Dragster,Woody Gilmore,AA/FD,EDIT THIS!
8094,1973,6.77,201.34,Savadin,Paul,Valvoline Charger,Texas,Donovan Hemi,,Dragster,Watson,AA/FD,EDIT THIS!
8095,1974,6.565,209.0,Savadin,Paul,West Coast Charger,Texas,Donovan Hemi,,Dragster,Watson,AA/FD,EDIT THIS!
8096,1975,8.49,173.79,Savadin,Paul,Valvoline Charger,Texas,Donovan Hemi,,Dragster,Watson,AA/FD,EDIT THIS!
8097,1976,7.83,165.74,Savadin,Paul,Valvoline Charger,Texas,Donovan Hemi,,Dragster,Watson,AA/FD,EDIT THIS!
8098,1977,6.775,0.0,Savadin,Paul,Valvoline Charger,Texas,Donovan Hemi,,Dragster,Watson,AA/FD,EDIT THIS!
8099,1978,0.0,0.0,Savadin,Paul,Valvoline Charger,Texas,Donovan Hemi,,Dragster,Watson,AA/FD,EDIT THIS!
8100,1979,0.0,0.0,Savadin,Paul,Valvoline Charger,Texas,Donovan Hemi,,Dragster,Watson,AA/FD,EDIT THIS!
8101,1980,0.0,0.0,Savadin,Paul,Valvoline Charger,Texas,Donovan Hemi,,Dragster,Watson,TF,EDIT THIS!
8102,1981,0.0,0.0,Savadin,Paul,Paul & Diane Savadin,Texas,Donovan Hemi,,Dragster,Watson,TF,EDIT THIS!
8103,1981,0.0,0.0,Savadin,Paul,Valvoline Charger,Texas,Donovan Hemi,,Dragster,Watson,TF,EDIT THIS!
8104,1982,6.23,215.31,Savadin,Paul,Paul & Diane Savadin,Texas,Donovan Hemi,,Dragster,Watson,TF,EDIT THIS!
8105,1972,0.0,0.0,Savoca,Chuck,Public Enemy,New Jersey,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8106,1973,0.0,0.0,Savoca,Chuck,Public Enemy,New Jersey,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8107,1965,8.45,176.81,Sawalich,Dick,Edwards & Sawalich,Michigan,Chrysler Hemi,,Dragster,,Top Fuel,EDIT THIS!
8108,1964,0.0,0.0,Sbarbaro,Bob,Sbarbaro,Washington,Chrysler Hemi,,Dragster,Romeo Palamides,AA/FD,EDIT THIS!
8109,1965,7.96,194.8,Sbarbaro,Bob,Renegade,California,Chrysler Hemi,,Dragster,Don Garlits,AA/FD,EDIT THIS!
8110,1965,0.0,0.0,Sbarbaro,Bob,Nolan & Stanteon,Washington,Chrysler Hemi,,Dragster,Don Garlits,A/FD,EDIT THIS!
8111,1996,5.565,158.51,Scelzi,Gary,Team Winston,California,Alan Johnson Chevrolet,,Dragster,Brad Hadman,TF,EDIT THIS!
8112,1997,4.575,318.24,Scelzi,Gary,Team Winston,California,Alan Johnson Chrysler,,Dragster,Brad Hadman,TF,EDIT THIS!
8113,1998,4.525,326.44,Scelzi,Gary,Team Winston,California,Alan Johnson Chrysler,,Dragster,Brad Hadman,TF,EDIT THIS!
8114,1999,4.48,324.79,Scelzi,Gary,Winston/Matco Tools,California,Alan Johnson Chrysler,,Dragster,Brad Hadman,TF,EDIT THIS!
8115,2000,4.547,322.81,Scelzi,Gary,Winston/Matco Tools,California,Alan Johnson Chrysler,,Dragster,Brad Hadman,TF,EDIT THIS!
8116,2001,4.503,329.58,Scelzi,Gary,Winston/Matco Tools,California,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8117,2003,0.0,0.0,Scelzi,Gary,US Army,California,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8118,1966,7.99,170.77,Schacker,Bernie,Delta V,New York,Chevrolet,,Dragster,,B/FD,EDIT THIS!
8119,1967,7.2,214.78,Schacker,Bernie,Bernie Schacker,New York,Chrysler Hemi,,Dragster,Bernie Schacker,AA/FD,EDIT THIS!
8120,1968,0.0,0.0,Schacker,Bernie,Public Enemy,New York,Chrysler Hemi,,Dragster,Bernie Schacker,AA/FD,EDIT THIS!
8121,1969,6.765,195.65,Schacker,Bernie,Bernie Schacker,New York,Chrysler Hemi,,Dragster,Bernie Schacker,AA/FD,EDIT THIS!
8122,1970,6.98,211.76,Schacker,Bernie,Bernie Schacker,New York,Chrysler Hemi,,Dragster,Bernie Schacker,AA/FD,EDIT THIS!
8123,1979,0.0,196.07,Schacker,Bernie,Bernie Schacker,New York,Chrysler Hemi,,Dragster,Bernie Schacker,AA/FD,EDIT THIS!
8124,1965,8.64,181.08,Schaeffer,Jim,Compulsion,Minnesota,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8125,1973,0.0,0.0,Schakel,Allen,Rowe & Jones,Iowa,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8126,1965,7.5,219.5,Schiefer,Carl,Swamp Rat 8B,Florida,Dodge,,Dragster,Don Garlits,AA/FD,EDIT THIS!
8127,1960,0.0,0.0,Schifsky,Bill,Schifsky & Johnson,Minnesota,Chrysler Hemi,,Dragster,Scotty Fenn,AA/FD,EDIT THIS!
8128,1961,0.0,0.0,Schifsky,Bill,Schifsky & Johnson,Minnesota,Chrysler Hemi,,Dragster,Scotty Fenn,AA/FD,EDIT THIS!
8129,1962,0.0,0.0,Schifsky,Bill,Schifsky & Johnson,Minnesota,Chrysler Hemi,,Dragster,Scotty Fenn,AA/FD,EDIT THIS!
8130,1963,0.0,0.0,Schifsky,Bill,Schifsky & Johnson,Minnesota,Chrysler Hemi,,Dragster,Scotty Fenn,AA/FD,EDIT THIS!
8131,1965,0.0,0.0,Schifsky,Bill,Schifsky & Johnson,Minnesota,Chrysler Hemi,,Dragster,S&J,AA/FD,EDIT THIS!
8132,1966,7.577,210.0,Schifsky,Bill,Bill Schifsky,Minnesota,Chrysler Hemi,,Dragster,Don Garlits,AA/FD,EDIT THIS!
8133,1967,0.0,0.0,Schifsky,Bill,Bill Schifsky,Minnesota,Chrysler Hemi,,Dragster,Don Garlits,AA/FD,EDIT THIS!
8134,1968,0.0,215.0,Schifsky,Bill,Bill Schifsky,Minnesota,Chrysler Hemi,,Dragster,Don Garlits,AA/FD,EDIT THIS!
8135,1980,6.114,227.84,Schmidt,Bob,Boilermaker,Texas,Milodon Hemi,,Dragster,,TF,EDIT THIS!
8136,1981,5.995,245.23,Schmidt,Bob,Boilermaker,Texas,Milodon Hemi,,Dragster,,TF,EDIT THIS!
8137,1972,6.395,206.89,Schoenfield,Paul,Want Bird,Utah,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8138,1972,6.547,203.16,Schoenfield,Paul,F.G. Ferre & Sons/Larry Aiello,Utah,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8139,1973,0.0,0.0,Schoenfield,Paul,F.G. Ferre & Sons Want Bird,Utah,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8140,1974,6.48,0.0,Schoenfield,Paul,Want Bird,Utah,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8141,1975,6.64,0.0,Schoenfield,Paul,Want Bird,Utah,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8142,1976,6.28,221.0,Schoenfield,Paul,Want Bird,Utah,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8143,1977,6.32,0.0,Schoenfield,Paul,Want Bird,Utah,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8144,1971,6.73,0.0,Schofield,Flip,Cyr & Schofield,California,Donovan Hemi,,Dragster,Higley,AA/FD,EDIT THIS!
8145,1971,0.0,0.0,Schofield,Flip,Cyr & Schofield,California,Donovan Hemi,,Dragster,Higley,AA/FD,EDIT THIS!
8146,1972,6.21,229.0,Schofield,Flip,Cyr & Schofield,California,Donovan Hemi,,Dragster,Higley,AA/FD,EDIT THIS!
8147,1973,6.151,230.76,Schofield,Flip,Cyr & Schofield,California,Donovan Hemi,,Dragster,Higley,AA/FD,EDIT THIS!
8148,1974,6.01,232.55,Schofield,Flip,Cyr & Schofield,California,Donovan Hemi,,Dragster,Higley,AA/FD,EDIT THIS!
8149,1975,6.24,214.79,Schofield,Flip,Cyr & Schofield,California,Donovan Hemi,,Dragster,Higley,AA/FD,EDIT THIS!
8150,1976,6.86,0.0,Schofield,Flip,Cyr & Schofield,California,Donovan Hemi,,Dragster,Woody Gilmore,AA/FD,EDIT THIS!
8151,1965,8.43,193.8,Schreiber,George,Big Daddy Roth's Yellow Fang,California,Chrysler Hemi,,Dragster,Jim Davis,AA/FD,EDIT THIS!
8152,1966,7.83,207.85,Schreiber,George,Roth's Yellow Fang,California,Chrysler Hemi,,Dragster,Jim Davis,AA/FD,EDIT THIS!
8153,1969,0.0,0.0,Schreiber,George,Yellow Fang,California,Chrysler Hemi,,Dragster,Jim Davis,AA/FD,EDIT THIS!
8154,1971,0.0,0.0,Schreiber,George,Excalibur,California,1958 Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8155,1972,6.719,0.0,Schreiber,George,The Bushmaster,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8156,1975,0.0,0.0,Schreiber,George,Nitro Guzzler,California,Donovan Hemi,,Dragster,Woody Gilmore,TF,EDIT THIS!
8157,1978,0.0,0.0,Schreiber,George,Nitro Guzzler,California,Donovan Hemi,,Dragster,Woody Gilmore,TF,EDIT THIS!
8158,1981,5.92,233.76,Schreiber,George,Yellow Fang,California,Keith Black Hemi,,Dragster,Ken Cox,TF,EDIT THIS!
8159,1983,5.92,233.76,Schreiber,George,The Bushmaster,California,Keith Black Hemi,,Dragster,Ken Cox,TF,EDIT THIS!
8160,1991,0.0,0.0,Schreiber,George,The Bushmaster,California,Keith Black Hemi,,Dragster,George Britting,TF,EDIT THIS!
8161,1994,0.0,0.0,Schreiber,George,The Bushmaster,California,Keith Black Hemi,,Dragster,Dave & Don Tuttle - CCE,TF,EDIT THIS!
8162,1970,7.215,183.29,Schrock,Ed,The Handgrenade,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8163,1957,0.0,0.0,Schubeck,Joe,Joe Schubeck,Ohio,Ford,,Dragster,Joe Schubeck,Top Eliminator,EDIT THIS!
8164,1963,7.855,191.48,Schubeck,Joe,Lakewood Chassis Co.,Ohio,Chrysler Hemi,,Dragster,Lakewood Chassis Co.,AA/FD,EDIT THIS!
8165,1964,0.0,0.0,Schubeck,Joe,Art Malone,Ohio,Chrysler Hemi,,Dragster,Don Garlits,AA/FD,EDIT THIS!
8166,1964,7.855,181.44,Schubeck,Joe,Lakewood Chassis Co.,Ohio,Chrysler Hemi,,Dragster,Lakewood Chassis Co.,AA/FD,EDIT THIS!
8167,1965,7.54,204.54,Schubeck,Joe,Lakewood Chassis Co.,Ohio,Chrysler Hemi,,Dragster,Lakewood Chassis Co.,AA/FD,EDIT THIS!
8168,1966,7.481,214.78,Schubeck,Joe,Ramchargers,Ohio,Chrysler Hemi,,Dragster,Woody Gilmore,AA/FD,EDIT THIS!
8169,1960,10.45,121.0,Schuljak,Jake,M&R Engineering,Illinois,Chrysler Hemi,,Dragster,,Top Eliminator,EDIT THIS!
8170,1961,0.0,0.0,Schuljak,Jake,M&R Engineering,Illinois,Chrysler Hemi,,Dragster,,Top Eliminator,EDIT THIS!
8171,1962,0.0,0.0,Schuljak,Jake,M&R Engineering,Illinois,Chrysler Hemi,,Dragster,,Top Eliminator,EDIT THIS!
8172,2012,4.887,293.09,Schultz,Daniel,Santo's Cranes,New South Wales,BAE Hemi,,Dragster,Attac,TF,EDIT THIS!
8173,2013,0.0,0.0,Schultz,Daniel,Santo's Cranes,New South Wales,BAE Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8174,1964,8.12,187.0,Schultz,Ed,Thoroughbred,California,Chrysler Hemi,,Dragster,Tommy Ivo,AA/FD,EDIT THIS!
8175,1975,6.53,208.81,Schumacher,John,Ego Trip,Michigan,Chrysler Hemi,,Dragster,Chuck Kurzawa,AA/FD,EDIT THIS!
8176,1996,4.75,310.77,Schumacher,Tony,Peek Brothers/LaBac Systems,Illinois,TFX Hemi,,Dragster,Peek Bros.,TF,EDIT THIS!
8177,1997,4.704,302.72,Schumacher,Tony,LaBac Systems/Peek Brothers,Illinois,TFX Hemi,,Dragster,Dave Jeffers,TF,EDIT THIS!
8178,1998,4.681,321.54,Schumacher,Tony,Exide Batteries,Illinois,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8179,1998,4.721,301.81,Schumacher,Tony,Peek Brothers Racing,Illinois,TFX Hemi,,Dragster,Dave Jeffers,TF,EDIT THIS!
8180,1999,4.527,330.23,Schumacher,Tony,Exide Batteries,Illinois,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8181,2000,4.535,324.67,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8182,2000,4.58,322.58,Schumacher,Tony,Exide Batteries,Illinois,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8183,2001,4.517,329.34,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8184,2002,4.533,329.26,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8185,2003,4.441,332.34,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8186,2004,4.451,332.67,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Murf McKinney,TF,EDIT THIS!
8187,2005,4.437,337.58,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8188,2006,4.428,333.08,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8189,2007,4.43,333.66,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8190,2008,4.48,331.77,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8191,2009,0.0,0.0,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8192,2010,0.0,0.0,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8193,2011,0.0,0.0,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,Brad Hadman,TF,EDIT THIS!
8194,2012,0.0,0.0,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,DSR,TF,EDIT THIS!
8195,2013,0.0,0.0,Schumacher,Tony,US Army,Illinois,TFX Hemi,,Dragster,DSR,TF,EDIT THIS!
8196,2014,0.0,0.0,Schumacher,Tony,US Army,Texas,TFX Hemi,,Dragster,DSR,TF,EDIT THIS!
8197,2015,0.0,0.0,Schumacher,Tony,US Army,Texas,TFX Hemi,,Dragster,DSR,TF,EDIT THIS!
8198,2016,0.0,0.0,Schumacher,Tony,US Army,Texas,TFX Hemi,,Dragster,DSR,TF,EDIT THIS!
8199,2017,0.0,0.0,Schumacher,Tony,US Army,Texas,TFX Hemi,,Dragster,DSR,TF,EDIT THIS!
8200,2018,0.0,0.0,Schumacher,Tony,US Army,Texas,TFX Hemi,,Dragster,DSR,TF,EDIT THIS!
8201,2020,0.0,0.0,Schumacher,Tony,Global,Texas,TFX Hemi,,Dragster,DSR,TF,EDIT THIS!
8202,2022,0.0,0.0,Schumacher,Tony,SCAG/Maynard Family,Texas,TFX Hemi,,Dragster,DSR,TF,EDIT THIS!
8203,2023,0.0,0.0,Schumacher,Tony,SCAG/Maynard Family,Texas,TFX Hemi,,Dragster,DSR,TF,EDIT THIS!
8204,2024,0.0,0.0,Schumacher,Tony,Leatherwood Distillery,Texas,TFX Hemi,,Dragster,DSR,Top Fuel,EDIT THIS!
8205,1971,7.195,190.27,Schutz,Denver,Denver Schutz,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8206,1971,6.93,0.0,Schutz,Denver,Karody & Colyer,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8207,1971,6.99,0.0,Schutz,Denver,Danekas-Banks-Bowman,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8208,1971,0.0,0.0,Schutz,Denver,Blanchard & Williams,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8209,1972,6.21,227.84,Schutz,Denver,Danekas-Banks-Bowman,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8210,1972,6.02,238.72,Schutz,Denver,John Blanchard,California,Chrysler Hemi,,Dragster,Dave Uyehara,AA/FD,EDIT THIS!
8211,1973,6.35,229.59,Schutz,Denver,John Blanchard,California,Chrysler Hemi,,Dragster,Dave Uyehara,AA/FD,EDIT THIS!
8212,1974,6.215,220.58,Schutz,Denver,John Blanchard,California,Chrysler Hemi,,Dragster,Dave Uyehara,AA/FD,EDIT THIS!
8213,1974,0.0,0.0,Schutz,Denver,Poncho Rendon's Frito Bandito,California,Keith Black Hemi,,Dragster,Logghe Stamping Co.,AA/FD,EDIT THIS!
8214,1974,6.37,0.0,Schutz,Denver,California Wolverine,California,Donovan Hemi,,Dragster,,AA/FD,EDIT THIS!
8215,1974,0.0,0.0,Schutz,Denver,Rossi & Lisa,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8216,1975,5.932,233.16,Schutz,Denver,Skinner Bros.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8217,1976,5.98,231.36,Schutz,Denver,Skinner Bros.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8218,1977,5.957,238.72,Schutz,Denver,Skinner Bros.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
8219,1978,6.05,0.0,Schutz,Denver,Skinner Bros.,California,Chrysler Hemi,,Dragster,,AA/FD,EDIT THIS!
